Year,Exports_USD,Exports_GDP,Imports_USD,Imports_GDP,Foreign_Direct_Investment_Inflows_USD,Foreign_Direct_Investment_GDP,Inflation_Rate,Inflation_Rate_Annual_Change,Unemployment_Rate,Unemployment_Annual_Change,Unemployment_Ages_15To24_Rate,Unemployment_Ages_15To24_Annual_Change,Manufacturing_Output_USD,Manufacturing_Output_GDP,Economic_Growth_GDP,Economic_Growth_Per_Capita,Economic_Growth_Rate
2021,$14.99B,0.1774,$21.39B,0.253,,,0.0701,0.0086,0.054,-0.0048,0.2606,0.0052,$15.20B,0.1799,$84.52B,3815,0.0366
2020,$13.03B,0.1609,$18.24B,0.2252,$0.43B,0.0054,0.0615,0.0263,0.0588,0.0153,0.2553,0.0427,$13.07B,0.1615,$80.97B,3694,-0.0362
2019,$19.43B,0.2315,$24.57B,0.2928,$0.74B,0.0089,0.0353,0.0139,0.0435,0.0003,0.2126,0.0044,$13.59B,0.162,$83.90B,3848,0.0233
2018,$20.27B,0.2304,$26.80B,0.3047,$1.61B,0.0183,0.0214,-0.0557,0.0432,0.0027,0.2082,0.0316,$13.57B,0.1543,$87.96B,4059,0.0327
2017,$19.09B,0.2183,$25.40B,0.2906,$1.37B,0.0157,0.077,0.0375,0.0405,-0.0019,0.1766,-0.0273,$13.44B,0.1537,$87.43B,4077,0.0358
2016,$17.45B,0.2117,$23.45B,0.2846,$0.90B,0.0109,0.0396,0.0019,0.0424,-0.0028,0.2038,0.009,$13.50B,0.1638,$82.40B,3886,0.0449
2015,$16.94B,0.2101,$23.01B,0.2855,$0.68B,0.0084,0.0377,0.0059,0.0452,0.0033,0.1949,0.0048,$13.11B,0.1626,$80.60B,3844,0.0501
2014,$16.74B,0.2109,$23.14B,0.2916,$0.89B,0.0113,0.0318,-0.0373,0.0419,-0.0005,0.1901,0.0071,$13.47B,0.1697,$79.36B,3819,0.0496
2013,$15.10B,0.2032,$21.51B,0.2894,$0.93B,0.0125,0.0691,-0.0063,0.0424,0.0036,0.183,0.0129,$13.35B,0.1796,$74.32B,3610,0.034
2012,$13.56B,0.1982,$21.68B,0.3168,$0.94B,0.0138,0.0754,0.0083,0.0388,-0.0024,0.1701,0.0008,$13.31B,0.1944,$68.43B,3351,0.0914
2011,$13.64B,0.209,$22.26B,0.3409,$0.96B,0.0146,0.0672,0.005,0.0412,-0.0066,0.1693,-0.0177,$12.03B,0.1842,$65.29B,3201,0.084
2010,$11.09B,0.1955,$15.21B,0.2681,$0.48B,0.0084,0.0622,0.0275,0.0478,-0.0107,0.187,-0.0247,$10.24B,0.1805,$56.73B,2800,0.0802
2009,$8.97B,0.2133,$11.70B,0.2782,$0.40B,0.0096,0.0347,-0.191,0.0585,0.0063,0.2117,0.0245,$7.62B,0.1811,$42.07B,2090,0.0354
2008,$10.11B,0.2484,$15.69B,0.3853,$0.75B,0.0185,0.2256,0.0672,0.0522,-0.0075,0.1873,-0.0272,$7.31B,0.1795,$40.71B,2037,0.0595
2007,$9.42B,0.2912,$12.78B,0.3949,$0.60B,0.0186,0.1584,0.0582,0.0597,-0.0053,0.2144,-0.0064,$5.98B,0.185,$32.35B,1630,0.068
2006,$8.52B,0.3013,$11.63B,0.4113,$0.48B,0.017,0.1002,-0.0162,0.065,-0.0117,0.2209,-0.0558,$5.44B,0.1923,$28.28B,1436,0.0767
